Site Name ,ODYLIGHT003
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,15888


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,01/08/2023 , 16:15:00,49,38.8
2,01/08/2023 , 16:30:00,23,18.2
3,01/08/2023 , 16:45:00,37,29.3
4,01/08/2023 , 17:00:00,28,22.2
5,01/08/2023 , 17:15:00,12,9.5
6,01/08/2023 , 17:30:00,8,6.3
7,01/08/2023 , 17:45:00,9,7.1
8,01/08/2023 , 18:00:00,10,7.9
9,01/08/2023 , 18:15:00,22,17.4
10,01/08/2023 , 18:30:00,66,52.3
11,01/08/2023 , 18:45:00,56,44.3
12,01/08/2023 , 19:00:00,35,27.7
13,01/08/2023 , 19:15:00,22,17.4
14,01/08/2023 , 19:30:00,23,18.2
15,01/08/2023 , 19:45:00,16,12.7
16,01/08/2023 , 20:00:00,6,4.8
17,01/08/2023 , 20:15:00,1,0.8
18,01/08/2023 , 20:30:00,0,0
19,01/08/2023 , 20:45:00,0,0
20,01/08/2023 , 21:00:00,0,0
21,01/08/2023 , 21:15:00,0,0
22,01/08/2023 , 21:30:00,0,0
23,01/08/2023 , 21:45:00,0,0
24,01/08/2023 , 22:00:00,0,0
25,01/08/2023 , 22:15:00,0,0
26,01/08/2023 , 22:30:00,0,0
27,01/08/2023 , 22:45:00,0,0
28,01/08/2023 , 23:00:00,0,0
29,01/08/2023 , 23:15:00,0,0
30,01/08/2023 , 23:30:00,0,0
31,01/08/2023 , 23:45:00,0,0
32,01/08/2023 , 24:00:00,0,0
33,02/08/2023 , 00:15:00,0,0
34,02/08/2023 , 00:30:00,0,0
35,02/08/2023 , 00:45:00,0,0
36,02/08/2023 , 01:00:00,0,0
37,02/08/2023 , 01:15:00,0,0
38,02/08/2023 , 01:30:00,0,0
39,02/08/2023 , 01:45:00,0,0
40,02/08/2023 , 02:00:00,0,0
41,02/08/2023 , 02:15:00,0,0
42,02/08/2023 , 02:30:00,0,0
43,02/08/2023 , 02:45:00,0,0
44,02/08/2023 , 03:00:00,0,0
45,02/08/2023 , 03:15:00,0,0
46,02/08/2023 , 03:30:00,0,0
47,02/08/2023 , 03:45:00,0,0
48,02/08/2023 , 04:00:00,0,0
49,02/08/2023 , 04:15:00,0,0
50,02/08/2023 , 04:30:00,0,0
51,02/08/2023 , 04:45:00,0,0
52,02/08/2023 , 05:00:00,0,0
53,02/08/2023 , 05:15:00,0,0
54,02/08/2023 , 05:30:00,0,0
55,02/08/2023 , 05:45:00,0,0
56,02/08/2023 , 06:00:00,0,0
57,02/08/2023 , 06:15:00,0,0
58,02/08/2023 , 06:30:00,0,0
59,02/08/2023 , 06:45:00,0,0
60,02/08/2023 , 07:00:00,4,3.2
61,02/08/2023 , 07:15:00,13,10.3
62,02/08/2023 , 07:30:00,8,6.3
63,02/08/2023 , 07:45:00,2,1.6
64,02/08/2023 , 08:00:00,6,4.8
65,02/08/2023 , 08:15:00,7,5.5
66,02/08/2023 , 08:30:00,9,7.1
67,02/08/2023 , 08:45:00,20,15.8
68,02/08/2023 , 09:00:00,43,34
69,02/08/2023 , 09:15:00,54,42.8
70,02/08/2023 , 09:30:00,2797,2214.7
71,02/08/2023 , 09:45:00,756,598.6
72,02/08/2023 , 10:00:00,0,0
73,02/08/2023 , 10:15:00,0,0
74,02/08/2023 , 10:30:00,0,0
75,02/08/2023 , 10:45:00,16,12.7
76,02/08/2023 , 11:00:00,0,0
77,02/08/2023 , 11:15:00,604,478.3
78,02/08/2023 , 11:30:00,266,210.6
79,02/08/2023 , 11:45:00,2312,1830.7
80,02/08/2023 , 12:00:00,6904,5466.8
81,02/08/2023 , 12:15:00,7404,5862.7
82,02/08/2023 , 12:30:00,12121,9597.8
83,02/08/2023 , 12:45:00,7202,5702.8
84,02/08/2023 , 13:00:00,6759,5352
85,02/08/2023 , 13:15:00,5109,4045.5
86,02/08/2023 , 13:30:00,3536,2799.9
87,02/08/2023 , 13:45:00,3879,3071.5
88,02/08/2023 , 14:00:00,7214,5712.3
89,02/08/2023 , 14:15:00,9873,7817.7
90,02/08/2023 , 14:30:00,13098,10371.4
91,02/08/2023 , 14:45:00,3396,2689.1
92,02/08/2023 , 15:00:00,3356,2657.4
93,02/08/2023 , 15:15:00,1767,1399.2
94,02/08/2023 , 15:30:00,1525,1207.5
95,02/08/2023 , 15:45:00,535,423.6
96,02/08/2023 , 16:00:00,1823,1443.5
97,02/08/2023 , 16:15:00,3180,2518
98,02/08/2023 , 16:30:00,3050,2415.1
99,02/08/2023 , 16:45:00,2421,1917
100,02/08/2023 , 17:00:00,1700,1346.1
101,02/08/2023 , 17:15:00,1243,984.2
102,02/08/2023 , 17:30:00,1446,1145
103,02/08/2023 , 17:45:00,1519,1202.8
104,02/08/2023 , 18:00:00,1016,804.5
105,02/08/2023 , 18:15:00,753,596.2
106,02/08/2023 , 18:30:00,746,590.7
107,02/08/2023 , 18:45:00,752,595.5
108,02/08/2023 , 19:00:00,673,532.9
109,02/08/2023 , 19:15:00,519,411
110,02/08/2023 , 19:30:00,399,315.9
111,02/08/2023 , 19:45:00,377,298.5
112,02/08/2023 , 20:00:00,337,266.8
113,02/08/2023 , 20:15:00,128,101.4
114,02/08/2023 , 20:30:00,24,19
115,02/08/2023 , 20:45:00,1,0.8
116,02/08/2023 , 21:00:00,0,0
117,02/08/2023 , 21:15:00,0,0
118,02/08/2023 , 21:30:00,0,0
119,02/08/2023 , 21:45:00,0,0
120,02/08/2023 , 22:00:00,0,0
121,02/08/2023 , 22:15:00,0,0
122,02/08/2023 , 22:30:00,0,0
123,02/08/2023 , 22:45:00,0,0
124,02/08/2023 , 23:00:00,0,0
125,02/08/2023 , 23:15:00,0,0
126,02/08/2023 , 23:30:00,0,0
127,02/08/2023 , 23:45:00,0,0
128,02/08/2023 , 24:00:00,0,0
129,03/08/2023 , 00:15:00,0,0
130,03/08/2023 , 00:30:00,0,0
131,03/08/2023 , 00:45:00,0,0
132,03/08/2023 , 01:00:00,0,0
133,03/08/2023 , 01:15:00,0,0
134,03/08/2023 , 01:30:00,0,0
135,03/08/2023 , 01:45:00,0,0
136,03/08/2023 , 02:00:00,0,0
137,03/08/2023 , 02:15:00,0,0
138,03/08/2023 , 02:30:00,0,0
139,03/08/2023 , 02:45:00,0,0
140,03/08/2023 , 03:00:00,0,0
141,03/08/2023 , 03:15:00,0,0
142,03/08/2023 , 03:30:00,0,0
143,03/08/2023 , 03:45:00,0,0
144,03/08/2023 , 04:00:00,0,0
145,03/08/2023 , 04:15:00,0,0
146,03/08/2023 , 04:30:00,0,0
147,03/08/2023 , 04:45:00,0,0
148,03/08/2023 , 05:00:00,0,0
149,03/08/2023 , 05:15:00,0,0
150,03/08/2023 , 05:30:00,0,0
151,03/08/2023 , 05:45:00,0,0
152,03/08/2023 , 06:00:00,0,0
153,03/08/2023 , 06:15:00,0,0
154,03/08/2023 , 06:30:00,11,8.7
155,03/08/2023 , 06:45:00,84,66.5
156,03/08/2023 , 07:00:00,233,184.5
157,03/08/2023 , 07:15:00,368,291.4
158,03/08/2023 , 07:30:00,573,453.7
159,03/08/2023 , 07:45:00,1667,1320
160,03/08/2023 , 08:00:00,2518,1993.8
161,03/08/2023 , 08:15:00,3643,2884.6
162,03/08/2023 , 08:30:00,2614,2069.8
163,03/08/2023 , 08:45:00,3886,3077
164,03/08/2023 , 09:00:00,5430,4299.6
165,03/08/2023 , 09:15:00,5548,4393.1
166,03/08/2023 , 09:30:00,5592,4427.9
167,03/08/2023 , 09:45:00,8884,7034.6
168,03/08/2023 , 10:00:00,9423,7461.4
169,03/08/2023 , 10:15:00,11544,9140.9
170,03/08/2023 , 10:30:00,6132,4855.5
171,03/08/2023 , 10:45:00,13035,10321.5
172,03/08/2023 , 11:00:00,13136,10401.5
173,03/08/2023 , 11:15:00,13868,10981.1
174,03/08/2023 , 11:30:00,14348,11361.2
175,03/08/2023 , 11:45:00,14984,11864.8
176,03/08/2023 , 12:00:00,15596,12349.4
177,03/08/2023 , 12:15:00,16254,12870.4
178,03/08/2023 , 12:30:00,16855,13346.3
179,03/08/2023 , 12:45:00,17754,14058.1
180,03/08/2023 , 13:00:00,19537,15470
181,03/08/2023 , 13:15:00,18280,14474.6
182,03/08/2023 , 13:30:00,16380,12970.2
183,03/08/2023 , 13:45:00,17855,14138.1
184,03/08/2023 , 14:00:00,18583,14714.6
185,03/08/2023 , 14:15:00,18930,14989.3
186,03/08/2023 , 14:30:00,18167,14385.2
187,03/08/2023 , 14:45:00,14732,11665.2
188,03/08/2023 , 15:00:00,12526,9918.4
189,03/08/2023 , 15:15:00,15179,12019.2
190,03/08/2023 , 15:30:00,15107,11962.2
191,03/08/2023 , 15:45:00,15385,12182.3
192,03/08/2023 , 16:00:00,12365,9791
193,03/08/2023 , 16:15:00,11582,9171
194,03/08/2023 , 16:30:00,8489,6721.8
195,03/08/2023 , 16:45:00,11062,8759.2
196,03/08/2023 , 17:00:00,11507,9111.6
197,03/08/2023 , 17:15:00,10607,8398.9
198,03/08/2023 , 17:30:00,9135,7233.4
199,03/08/2023 , 17:45:00,7949,6294.2
200,03/08/2023 , 18:00:00,7152,5663.2
201,03/08/2023 , 18:15:00,6460,5115.2
202,03/08/2023 , 18:30:00,5092,4032
203,03/08/2023 , 18:45:00,4221,3342.3
204,03/08/2023 , 19:00:00,3327,2634.4
205,03/08/2023 , 19:15:00,2124,1681.8
206,03/08/2023 , 19:30:00,1506,1192.5
207,03/08/2023 , 19:45:00,946,749.1
208,03/08/2023 , 20:00:00,436,345.2
209,03/08/2023 , 20:15:00,160,126.7
210,03/08/2023 , 20:30:00,28,22.2
211,03/08/2023 , 20:45:00,0,0
212,03/08/2023 , 21:00:00,0,0
213,03/08/2023 , 21:15:00,0,0
214,03/08/2023 , 21:30:00,0,0
215,03/08/2023 , 21:45:00,0,0
216,03/08/2023 , 22:00:00,0,0
217,03/08/2023 , 22:15:00,0,0
218,03/08/2023 , 22:30:00,0,0
219,03/08/2023 , 22:45:00,0,0
220,03/08/2023 , 23:00:00,0,0
221,03/08/2023 , 23:15:00,0,0
222,03/08/2023 , 23:30:00,0,0
223,03/08/2023 , 23:45:00,0,0
224,03/08/2023 , 24:00:00,0,0
225,04/08/2023 , 00:15:00,0,0
226,04/08/2023 , 00:30:00,0,0
227,04/08/2023 , 00:45:00,0,0
228,04/08/2023 , 01:00:00,0,0
229,04/08/2023 , 01:15:00,0,0
230,04/08/2023 , 01:30:00,0,0
231,04/08/2023 , 01:45:00,0,0
232,04/08/2023 , 02:00:00,0,0
233,04/08/2023 , 02:15:00,0,0
234,04/08/2023 , 02:30:00,0,0
235,04/08/2023 , 02:45:00,0,0
236,04/08/2023 , 03:00:00,0,0
237,04/08/2023 , 03:15:00,0,0
238,04/08/2023 , 03:30:00,0,0
239,04/08/2023 , 03:45:00,0,0
240,04/08/2023 , 04:00:00,0,0
241,04/08/2023 , 04:15:00,0,0
242,04/08/2023 , 04:30:00,0,0
243,04/08/2023 , 04:45:00,0,0
244,04/08/2023 , 05:00:00,0,0
245,04/08/2023 , 05:15:00,0,0
246,04/08/2023 , 05:30:00,0,0
247,04/08/2023 , 05:45:00,0,0
248,04/08/2023 , 06:00:00,0,0
249,04/08/2023 , 06:15:00,0,0
250,04/08/2023 , 06:30:00,11,8.7
251,04/08/2023 , 06:45:00,119,94.2
252,04/08/2023 , 07:00:00,413,327
253,04/08/2023 , 07:15:00,804,636.6
254,04/08/2023 , 07:30:00,1353,1071.3
255,04/08/2023 , 07:45:00,1433,1134.7
256,04/08/2023 , 08:00:00,2568,2033.4
257,04/08/2023 , 08:15:00,2331,1845.8
258,04/08/2023 , 08:30:00,4160,3294
259,04/08/2023 , 08:45:00,2614,2069.8
260,04/08/2023 , 09:00:00,5211,4126.2
261,04/08/2023 , 09:15:00,6712,5314.8
262,04/08/2023 , 09:30:00,7878,6238
263,04/08/2023 , 09:45:00,9311,7372.7
264,04/08/2023 , 10:00:00,9838,7790
265,04/08/2023 , 10:15:00,8754,6931.7
266,04/08/2023 , 10:30:00,10413,8245.3
267,04/08/2023 , 10:45:00,10921,8647.6
268,04/08/2023 , 11:00:00,11707,9269.9
269,04/08/2023 , 11:15:00,12777,10117.2
270,04/08/2023 , 11:30:00,13362,10580.4
271,04/08/2023 , 11:45:00,13388,10601
272,04/08/2023 , 12:00:00,14208,11250.3
273,04/08/2023 , 12:15:00,14286,11312.1
274,04/08/2023 , 12:30:00,14822,11736.5
275,04/08/2023 , 12:45:00,13374,10589.9
276,04/08/2023 , 13:00:00,14472,11459.3
277,04/08/2023 , 13:15:00,14413,11412.6
278,04/08/2023 , 13:30:00,15373,12172.8
279,04/08/2023 , 13:45:00,16964,13432.6
280,04/08/2023 , 14:00:00,16575,13124.6
281,04/08/2023 , 14:15:00,16473,13043.8
282,04/08/2023 , 14:30:00,12491,9890.7
283,04/08/2023 , 14:45:00,8054,6377.4
284,04/08/2023 , 15:00:00,6128,4852.3
285,04/08/2023 , 15:15:00,5922,4689.2
286,04/08/2023 , 15:30:00,4676,3702.6
287,04/08/2023 , 15:45:00,8024,6353.6
288,04/08/2023 , 16:00:00,7791,6169.1
289,04/08/2023 , 16:15:00,11323,8965.9
290,04/08/2023 , 16:30:00,11569,9160.7
291,04/08/2023 , 16:45:00,11727,9285.8
292,04/08/2023 , 17:00:00,10982,8695.9
293,04/08/2023 , 17:15:00,10148,8035.5
294,04/08/2023 , 17:30:00,8981,7111.4
295,04/08/2023 , 17:45:00,7923,6273.7
296,04/08/2023 , 18:00:00,6833,5410.6
297,04/08/2023 , 18:15:00,5621,4450.9
298,04/08/2023 , 18:30:00,4198,3324.1
299,04/08/2023 , 18:45:00,2431,1924.9
300,04/08/2023 , 19:00:00,2787,2206.8
301,04/08/2023 , 19:15:00,2353,1863.2
302,04/08/2023 , 19:30:00,1542,1221
303,04/08/2023 , 19:45:00,900,712.6
304,04/08/2023 , 20:00:00,433,342.9
305,04/08/2023 , 20:15:00,146,115.6
306,04/08/2023 , 20:30:00,22,17.4
307,04/08/2023 , 20:45:00,0,0
308,04/08/2023 , 21:00:00,0,0
309,04/08/2023 , 21:15:00,0,0
310,04/08/2023 , 21:30:00,0,0
311,04/08/2023 , 21:45:00,0,0
312,04/08/2023 , 22:00:00,0,0
313,04/08/2023 , 22:15:00,0,0
314,04/08/2023 , 22:30:00,0,0
315,04/08/2023 , 22:45:00,0,0
316,04/08/2023 , 23:00:00,0,0
317,04/08/2023 , 23:15:00,0,0
318,04/08/2023 , 23:30:00,0,0
319,04/08/2023 , 23:45:00,0,0
320,04/08/2023 , 24:00:00,0,0
321,05/08/2023 , 00:15:00,0,0
322,05/08/2023 , 00:30:00,0,0
323,05/08/2023 , 00:45:00,0,0
324,05/08/2023 , 01:00:00,0,0
325,05/08/2023 , 01:15:00,0,0
326,05/08/2023 , 01:30:00,0,0
327,05/08/2023 , 01:45:00,0,0
328,05/08/2023 , 02:00:00,0,0
329,05/08/2023 , 02:15:00,0,0
330,05/08/2023 , 02:30:00,0,0
331,05/08/2023 , 02:45:00,0,0
332,05/08/2023 , 03:00:00,0,0
333,05/08/2023 , 03:15:00,0,0
334,05/08/2023 , 03:30:00,0,0
335,05/08/2023 , 03:45:00,0,0
336,05/08/2023 , 04:00:00,0,0
337,05/08/2023 , 04:15:00,0,0
338,05/08/2023 , 04:30:00,0,0
339,05/08/2023 , 04:45:00,0,0
340,05/08/2023 , 05:00:00,0,0
341,05/08/2023 , 05:15:00,0,0
342,05/08/2023 , 05:30:00,0,0
343,05/08/2023 , 05:45:00,0,0
344,05/08/2023 , 06:00:00,0,0
345,05/08/2023 , 06:15:00,0,0
346,05/08/2023 , 06:30:00,9,7.1
347,05/08/2023 , 06:45:00,89,70.5
348,05/08/2023 , 07:00:00,261,206.7
349,05/08/2023 , 07:15:00,572,452.9
350,05/08/2023 , 07:30:00,1102,872.6
351,05/08/2023 , 07:45:00,2132,1688.2
352,05/08/2023 , 08:00:00,1756,1390.5
353,05/08/2023 , 08:15:00,3169,2509.3
354,05/08/2023 , 08:30:00,2610,2066.7
355,05/08/2023 , 08:45:00,4292,3398.5
356,05/08/2023 , 09:00:00,6008,4757.3
357,05/08/2023 , 09:15:00,6407,5073.2
358,05/08/2023 , 09:30:00,7583,6004.4
359,05/08/2023 , 09:45:00,8562,6779.6
360,05/08/2023 , 10:00:00,7186,5690.1
361,05/08/2023 , 10:15:00,8609,6816.9
362,05/08/2023 , 10:30:00,5099,4037.5
363,05/08/2023 , 10:45:00,3840,3040.6
364,05/08/2023 , 11:00:00,6504,5150.1
365,05/08/2023 , 11:15:00,12388,9809.2
366,05/08/2023 , 11:30:00,13491,10682.6
367,05/08/2023 , 11:45:00,10373,8213.6
368,05/08/2023 , 12:00:00,14600,11560.7
369,05/08/2023 , 12:15:00,12935,10242.3
370,05/08/2023 , 12:30:00,11211,8877.2
371,05/08/2023 , 12:45:00,14737,11669.2
372,05/08/2023 , 13:00:00,11906,9427.5
373,05/08/2023 , 13:15:00,4561,3611.5
374,05/08/2023 , 13:30:00,2251,1782.4
375,05/08/2023 , 13:45:00,440,348.4
376,05/08/2023 , 14:00:00,433,342.9
377,05/08/2023 , 14:15:00,549,434.7
378,05/08/2023 , 14:30:00,882,698.4
379,05/08/2023 , 14:45:00,1518,1202
380,05/08/2023 , 15:00:00,1478,1170.3
381,05/08/2023 , 15:15:00,1629,1289.9
382,05/08/2023 , 15:30:00,1756,1390.5
383,05/08/2023 , 15:45:00,1501,1188.5
384,05/08/2023 , 16:00:00,1441,1141
385,05/08/2023 , 16:15:00,1101,871.8
386,05/08/2023 , 16:30:00,902,714.2
387,05/08/2023 , 16:45:00,1228,972.4
388,05/08/2023 , 17:00:00,463,366.6
389,05/08/2023 , 17:15:00,204,161.5
390,05/08/2023 , 17:30:00,787,623.2
391,05/08/2023 , 17:45:00,1343,1063.4
392,05/08/2023 , 18:00:00,1498,1186.2
393,05/08/2023 , 18:15:00,1574,1246.3
394,05/08/2023 , 18:30:00,1836,1453.8
395,05/08/2023 , 18:45:00,1149,909.8
396,05/08/2023 , 19:00:00,849,672.3
397,05/08/2023 , 19:15:00,463,366.6
398,05/08/2023 , 19:30:00,309,244.7
399,05/08/2023 , 19:45:00,406,321.5
400,05/08/2023 , 20:00:00,254,201.1
401,05/08/2023 , 20:15:00,48,38
402,05/08/2023 , 20:30:00,4,3.2
403,05/08/2023 , 20:45:00,0,0
404,05/08/2023 , 21:00:00,0,0
405,05/08/2023 , 21:15:00,0,0
406,05/08/2023 , 21:30:00,0,0
407,05/08/2023 , 21:45:00,0,0
408,05/08/2023 , 22:00:00,0,0
409,05/08/2023 , 22:15:00,0,0
410,05/08/2023 , 22:30:00,0,0
411,05/08/2023 , 22:45:00,0,0
412,05/08/2023 , 23:00:00,0,0
413,05/08/2023 , 23:15:00,0,0
414,05/08/2023 , 23:30:00,0,0
415,05/08/2023 , 23:45:00,0,0
416,05/08/2023 , 24:00:00,0,0
417,06/08/2023 , 00:15:00,0,0
418,06/08/2023 , 00:30:00,0,0
419,06/08/2023 , 00:45:00,0,0
420,06/08/2023 , 01:00:00,0,0
421,06/08/2023 , 01:15:00,0,0
422,06/08/2023 , 01:30:00,0,0
423,06/08/2023 , 01:45:00,0,0
424,06/08/2023 , 02:00:00,0,0
425,06/08/2023 , 02:15:00,0,0
426,06/08/2023 , 02:30:00,0,0
427,06/08/2023 , 02:45:00,0,0
428,06/08/2023 , 03:00:00,0,0
429,06/08/2023 , 03:15:00,0,0
430,06/08/2023 , 03:30:00,0,0
431,06/08/2023 , 03:45:00,0,0
432,06/08/2023 , 04:00:00,0,0
433,06/08/2023 , 04:15:00,0,0
434,06/08/2023 , 04:30:00,0,0
435,06/08/2023 , 04:45:00,0,0
436,06/08/2023 , 05:00:00,0,0
437,06/08/2023 , 05:15:00,0,0
438,06/08/2023 , 05:30:00,0,0
439,06/08/2023 , 05:45:00,0,0
440,06/08/2023 , 06:00:00,0,0
441,06/08/2023 , 06:15:00,0,0
442,06/08/2023 , 06:30:00,0,0
443,06/08/2023 , 06:45:00,10,7.9
444,06/08/2023 , 07:00:00,41,32.5
445,06/08/2023 , 07:15:00,63,49.9
446,06/08/2023 , 07:30:00,81,64.1
447,06/08/2023 , 07:45:00,161,127.5
448,06/08/2023 , 08:00:00,127,100.6
449,06/08/2023 , 08:15:00,431,341.3
450,06/08/2023 , 08:30:00,650,514.7
451,06/08/2023 , 08:45:00,706,559
452,06/08/2023 , 09:00:00,630,498.9
453,06/08/2023 , 09:15:00,597,472.7
454,06/08/2023 , 09:30:00,1233,976.3
455,06/08/2023 , 09:45:00,1199,949.4
456,06/08/2023 , 10:00:00,1361,1077.7
457,06/08/2023 , 10:15:00,2045,1619.3
458,06/08/2023 , 10:30:00,2519,1994.6
459,06/08/2023 , 10:45:00,3800,3008.9
460,06/08/2023 , 11:00:00,3268,2587.7
461,06/08/2023 , 11:15:00,2855,2260.7
462,06/08/2023 , 11:30:00,4093,3241
463,06/08/2023 , 11:45:00,5131,4062.9
464,06/08/2023 , 12:00:00,4067,3220.4
465,06/08/2023 , 12:15:00,5781,4577.6
466,06/08/2023 , 12:30:00,7585,6006
467,06/08/2023 , 12:45:00,7177,5683
468,06/08/2023 , 13:00:00,3917,3101.6
469,06/08/2023 , 13:15:00,8944,7082.1
470,06/08/2023 , 13:30:00,9423,7461.4
471,06/08/2023 , 13:45:00,16112,12757.9
472,06/08/2023 , 14:00:00,13801,10928
473,06/08/2023 , 14:15:00,11456,9071.2
474,06/08/2023 , 14:30:00,14661,11609
475,06/08/2023 , 14:45:00,17081,13525.2
476,06/08/2023 , 15:00:00,9565,7573.8
477,06/08/2023 , 15:15:00,8287,6561.9
478,06/08/2023 , 15:30:00,9166,7257.9
479,06/08/2023 , 15:45:00,6027,4772.4
480,06/08/2023 , 16:00:00,6042,4784.2
481,06/08/2023 , 16:15:00,10178,8059.2
482,06/08/2023 , 16:30:00,8061,6382.9
483,06/08/2023 , 16:45:00,3814,3020
484,06/08/2023 , 17:00:00,6079,4813.5
485,06/08/2023 , 17:15:00,4569,3617.9
486,06/08/2023 , 17:30:00,2126,1683.4
487,06/08/2023 , 17:45:00,2084,1650.2
488,06/08/2023 , 18:00:00,2257,1787.2
489,06/08/2023 , 18:15:00,2160,1710.4
490,06/08/2023 , 18:30:00,2084,1650.2
491,06/08/2023 , 18:45:00,1675,1326.3
492,06/08/2023 , 19:00:00,1302,1031
493,06/08/2023 , 19:15:00,889,703.9
494,06/08/2023 , 19:30:00,633,501.2
495,06/08/2023 , 19:45:00,398,315.1
496,06/08/2023 , 20:00:00,170,134.6
497,06/08/2023 , 20:15:00,46,36.4
498,06/08/2023 , 20:30:00,4,3.2
499,06/08/2023 , 20:45:00,0,0
500,06/08/2023 , 21:00:00,0,0
501,06/08/2023 , 21:15:00,0,0
502,06/08/2023 , 21:30:00,0,0
503,06/08/2023 , 21:45:00,0,0
504,06/08/2023 , 22:00:00,0,0
505,06/08/2023 , 22:15:00,0,0
506,06/08/2023 , 22:30:00,0,0
507,06/08/2023 , 22:45:00,0,0
508,06/08/2023 , 23:00:00,0,0
509,06/08/2023 , 23:15:00,0,0
510,06/08/2023 , 23:30:00,0,0
511,06/08/2023 , 23:45:00,0,0
512,06/08/2023 , 24:00:00,0,0
513,07/08/2023 , 00:15:00,0,0
514,07/08/2023 , 00:30:00,0,0
515,07/08/2023 , 00:45:00,0,0
516,07/08/2023 , 01:00:00,0,0
517,07/08/2023 , 01:15:00,0,0
518,07/08/2023 , 01:30:00,0,0
519,07/08/2023 , 01:45:00,0,0
520,07/08/2023 , 02:00:00,0,0
521,07/08/2023 , 02:15:00,0,0
522,07/08/2023 , 02:30:00,0,0
523,07/08/2023 , 02:45:00,0,0
524,07/08/2023 , 03:00:00,0,0
525,07/08/2023 , 03:15:00,0,0
526,07/08/2023 , 03:30:00,0,0
527,07/08/2023 , 03:45:00,0,0
528,07/08/2023 , 04:00:00,0,0
529,07/08/2023 , 04:15:00,0,0
530,07/08/2023 , 04:30:00,0,0
531,07/08/2023 , 04:45:00,0,0
532,07/08/2023 , 05:00:00,0,0
533,07/08/2023 , 05:15:00,0,0
534,07/08/2023 , 05:30:00,0,0
535,07/08/2023 , 05:45:00,0,0
536,07/08/2023 , 06:00:00,0,0
537,07/08/2023 , 06:15:00,0,0
538,07/08/2023 , 06:30:00,4,3.2
539,07/08/2023 , 06:45:00,55,43.6
540,07/08/2023 , 07:00:00,187,148.1
541,07/08/2023 , 07:15:00,288,228
542,07/08/2023 , 07:30:00,426,337.3
543,07/08/2023 , 07:45:00,760,601.8
544,07/08/2023 , 08:00:00,1190,942.3
545,07/08/2023 , 08:15:00,1693,1340.6
546,07/08/2023 , 08:30:00,2545,2015.2
547,07/08/2023 , 08:45:00,2533,2005.7
548,07/08/2023 , 09:00:00,3623,2868.8
549,07/08/2023 , 09:15:00,6063,4800.9
550,07/08/2023 , 09:30:00,5480,4339.2
551,07/08/2023 , 09:45:00,8287,6561.9
552,07/08/2023 , 10:00:00,7899,6254.7
553,07/08/2023 , 10:15:00,8615,6821.6
554,07/08/2023 , 10:30:00,11819,9358.6
555,07/08/2023 , 10:45:00,11029,8733.1
556,07/08/2023 , 11:00:00,10546,8350.6
557,07/08/2023 , 11:15:00,11019,8725.2
558,07/08/2023 , 11:30:00,5784,4579.9
559,07/08/2023 , 11:45:00,10806,8556.5
560,07/08/2023 , 12:00:00,10760,8520.1
561,07/08/2023 , 12:15:00,12140,9612.8
